"user_id","Choice","Group","Memory","TimeClick","Timesec","Q15_Page_Submit","Q16_Page_Submit","Q17_Page_Submit","Q18_Page_Submit","Age","Gender","Q23","PC1","PC2","PC3","PC4","PF1","PF2","PF3","PF4","PF5","BA","BF1","BF2","Memory_1","Memory_2","PC","PF","Group_1","Group_2","Group_3","Group_4","Choice_f","Memory_f"
120,2,4,2,4354,4.354,NA,NA,NA,15.717,1,NA,1,4,4,4,5,4,4,4,3,3,NA,NA,NA,0,1,4.25,3.6,0,0,0,1,"Reject","NoMemory"
121,2,1,1,3355,3.355,84.913,NA,NA,NA,1,2,1,5,5,5,5,4,4,5,4,3,5,1,1,1,0,5,4,1,0,0,0,"Reject","WithMemory"
122,3,4,1,13924,13.924,NA,NA,NA,24.846,2,1,1,5,4,4,4,3,5,5,5,5,NA,NA,NA,1,0,4.25,4.6,0,0,0,1,"Manage","WithMemory"
123,1,1,1,4435,4.435,11.816,NA,NA,NA,1,1,1,4,4,4,4,4,4,4,4,4,5,1,1,1,0,4,4,1,0,0,0,"Accept","WithMemory"
124,4,2,2,NA,NA,NA,8.471,NA,NA,1,2,1,3,4,3,4,4,5,5,4,4,5,1,2,0,1,3.5,4.4,0,1,0,0,"Other","NoMemory"
125,2,4,1,2656,2.656,NA,NA,NA,46.33,1,2,1,4,3,4,4,3,4,4,3,3,NA,NA,NA,1,0,3.75,3.4,0,0,0,1,"Reject","WithMemory"
126,1,2,2,3998,3.9984,NA,22.733,NA,NA,3,1,1,2,1,2,2,5,5,5,5,5,5,1,1,0,1,1.75,5,0,1,0,0,"Accept","NoMemory"
127,2,3,2,11366,11.366,NA,NA,19.651,NA,2,1,1,5,5,5,5,3,3,3,2,3,NA,NA,NA,0,1,5,2.8,0,0,1,0,"Reject","NoMemory"
128,4,1,1,NA,NA,8.724,NA,NA,NA,1,1,1,3,3,4,3,3,3,2,3,2,5,1,2,1,0,3.25,2.6,1,0,0,0,"Other","WithMemory"
129,2,3,2,4540,4.54,NA,NA,24.825,NA,3,1,1,5,5,5,5,2,4,3,4,4,NA,NA,NA,0,1,5,3.4,0,0,1,0,"Reject","NoMemory"
130,2,4,1,9142,9.142,NA,NA,NA,15.573,3,1,2,5,5,5,4,4,4,4,4,3,NA,NA,NA,1,0,4.75,3.8,0,0,0,1,"Reject","WithMemory"
131,2,2,2,4066,4.066,NA,9.857,NA,NA,2,1,1,4,4,4,4,3,3,3,3,3,5,1,2,0,1,4,3,0,1,0,0,"Reject","NoMemory"
132,1,1,1,2932,2.932,24.482,NA,NA,NA,2,2,1,4,4,4,4,3,3,3,4,4,5,1,2,1,0,4,3.4,1,0,0,0,"Accept","WithMemory"
133,2,4,2,4776,4.776,NA,NA,NA,12.843,2,2,1,5,5,5,5,3,5,5,5,5,NA,NA,NA,0,1,5,4.6,0,0,0,1,"Reject","NoMemory"
134,2,3,2,2312,2.312,NA,NA,63.782,NA,2,2,1,4,4,4,4,4,4,4,4,4,NA,NA,NA,0,1,4,4,0,0,1,0,"Reject","NoMemory"
135,2,2,2,5712,5.712,NA,112.33,NA,NA,2,1,1,4,4,3,2,5,5,5,5,5,5,1,1,0,1,3.25,5,0,1,0,0,"Reject","NoMemory"
136,2,3,2,4952,4.952,NA,NA,21.233,NA,3,1,1,5,5,5,5,2,4,3,4,4,NA,NA,NA,0,1,5,3.4,0,0,1,0,"Reject","NoMemory"
137,1,1,1,5989,5.989,43.3,NA,NA,NA,2,2,1,4,4,4,4,4,4,4,5,5,5,1,1,1,0,4,4.4,1,0,0,0,"Accept","WithMemory"
138,1,4,1,4101,4.101,NA,NA,NA,36.385,2,1,1,4,4,4,4,4,4,4,5,5,NA,NA,NA,1,0,4,4.4,0,0,0,1,"Accept","WithMemory"
139,1,2,1,4866,4.866,NA,16.259,NA,NA,2,1,1,4,4,4,4,4,4,4,4,4,5,1,2,1,0,4,4,0,1,0,0,"Accept","WithMemory"
140,3,4,2,5977,5.977,NA,NA,NA,11.634,2,2,1,4,4,4,4,2,2,2,3,4,NA,NA,NA,0,1,4,2.6,0,0,0,1,"Manage","NoMemory"
141,2,2,1,2544,2.544,NA,22.374,NA,NA,2,2,1,4,4,4,4,4,5,5,5,4,5,1,1,1,0,4,4.6,0,1,0,0,"Reject","WithMemory"
142,2,2,1,3868,3.868,NA,10.092,NA,NA,3,1,1,5,5,5,4,5,4,4,4,4,4,1,1,1,0,4.75,4.2,0,1,0,0,"Reject","WithMemory"
143,4,2,1,NA,NA,NA,45.173,NA,NA,2,1,1,4,4,4,4,2,4,4,3,4,5,1,1,1,0,4,3.4,0,1,0,0,"Other","WithMemory"
144,1,1,2,6575,6.575,18.701,NA,NA,NA,1,2,1,5,5,4,5,4,4,4,4,4,5,1,2,0,1,4.75,4,1,0,0,0,"Accept","NoMemory"
145,2,3,1,7828,7.828,NA,NA,54.278,NA,2,2,1,2,2,2,2,1,2,1,2,2,NA,NA,NA,1,0,2,1.6,0,0,1,0,"Reject","WithMemory"
